RPM: 2019.5, SPEED: 70.0, RATIO: 28.85
RPM: 2060.75, SPEED: 71.0, RATIO: 29.024647887323944
RPM: 2106.75, SPEED: 73.0, RATIO: 28.85958904109589
RPM: 2160.75, SPEED: 74.0, RATIO: 29.199324324324323
RPM: 2198.25, SPEED: 76.0, RATIO: 28.924342105263158
RPM: 2244.0, SPEED: 77.0, RATIO: 29.142857142857142
RPM: 2285.0, SPEED: 79.0, RATIO: 28.924050632911392
RPM: 2317.5, SPEED: 80.0, RATIO: 28.96875
RPM: 2331.5, SPEED: 81.0, RATIO: 28.78395061728395
RPM: 2348.25, SPEED: 82.0, RATIO: 28.63719512195122
RPM: 2346.25, SPEED: 82.0, RATIO: 28.61280487804878
RPM: 2341.25, SPEED: 81.0, RATIO: 28.90432098765432
RPM: 2336.5, SPEED: 81.0, RATIO: 28.84567901234568
RPM: 2340.25, SPEED: 81.0, RATIO: 28.891975308641975
RPM: 2345.25, SPEED: 82.0, RATIO: 28.600609756097562
RPM: 2364.25, SPEED: 82.0, RATIO: 28.83231707317073
RPM: 2387.5, SPEED: 83.0, RATIO: 28.765060240963855
RPM: 2421.0, SPEED: 84.0, RATIO: 28.821428571428573
RPM: 2435.75, SPEED: 84.0, RATIO: 28.99702380952381
RPM: 2424.5, SPEED: 85.0, RATIO: 28.523529411764706
RPM: 2413.75, SPEED: 84.0, RATIO: 28.735119047619047
RPM: 2384.5, SPEED: 83.0, RATIO: 28.728915662650603
RPM: 2367.5, SPEED: 83.0, RATIO: 28.52409638554217
RPM: 2357.75, SPEED: 82.0, RATIO: 28.753048780487806
RPM: 2343.0, SPEED: 82.0, RATIO: 28.573170731707318
RPM: 2330.25, SPEED: 81.0, RATIO: 28.76851851851852
RPM: 2326.75, SPEED: 81.0, RATIO: 28.72530864197531
RPM: 2287.25, SPEED: 80.0, RATIO: 28.590625
RPM: 2256.0, SPEED: 79.0, RATIO: 28.556962025316455
RPM: 2251.0, SPEED: 78.0, RATIO: 28.858974358974358
RPM: 2289.75, SPEED: 79.0, RATIO: 28.984177215189874
RPM: 2318.25, SPEED: 80.0, RATIO: 28.978125
RPM: 2307.5, SPEED: 81.0, RATIO: 28.487654320987655
RPM: 2303.75, SPEED: 80.0, RATIO: 28.796875
RPM: 2284.25, SPEED: 80.0, RATIO: 28.553125
RPM: 2250.75, SPEED: 79.0, RATIO: 28.490506329113924
RPM: 2227.5, SPEED: 78.0, RATIO: 28.557692307692307
RPM: 2206.25, SPEED: 77.0, RATIO: 28.6525974025974
RPM: 2191.25, SPEED: 77.0, RATIO: 28.457792207792206
RPM: 2179.75, SPEED: 76.0, RATIO: 28.68092105263158
RPM: 2166.75, SPEED: 75.0, RATIO: 28.89
RPM: 2174.0, SPEED: 75.0, RATIO: 28.986666666666668
RPM: 2204.75, SPEED: 76.0, RATIO: 29.00986842105263
RPM: 2204.25, SPEED: 77.0, RATIO: 28.626623376623378
RPM: 2188.0, SPEED: 76.0, RATIO: 28.789473684210527
RPM: 2176.75, SPEED: 76.0, RATIO: 28.64144736842105
RPM: 1987.5, SPEED: 75.0, RATIO: 26.5
RPM: 2107.0, SPEED: 73.0, RATIO: 28.863013698630137
RPM: 2594.75, SPEED: 71.0, RATIO: 36.54577464788732
RPM: 2560.5, SPEED: 70.0, RATIO: 36.57857142857143
RPM: 2520.75, SPEED: 69.0, RATIO: 36.53260869565217
RPM: 2481.0, SPEED: 68.0, RATIO: 36.48529411764706
RPM: 2444.25, SPEED: 67.0, RATIO: 36.48134328358209
RPM: 2406.0, SPEED: 66.0, RATIO: 36.45454545454545
RPM: 2385.5, SPEED: 65.0, RATIO: 36.7
RPM: 2411.75, SPEED: 65.0, RATIO: 37.103846153846156
RPM: 2436.5, SPEED: 66.0, RATIO: 36.916666666666664
RPM: 2444.0, SPEED: 67.0, RATIO: 36.47761194029851
RPM: 2462.75, SPEED: 67.0, RATIO: 36.757462686567166
RPM: 2476.25, SPEED: 67.0, RATIO: 36.958955223880594
RPM: 2484.5, SPEED: 67.0, RATIO: 37.082089552238806
RPM: 2482.25, SPEED: 68.0, RATIO: 36.50367647058823
RPM: 2507.75, SPEED: 68.0, RATIO: 36.87867647058823
RPM: 2512.25, SPEED: 68.0, RATIO: 36.94485294117647
RPM: 2520.75, SPEED: 68.0, RATIO: 37.06985294117647
RPM: 2594.5, SPEED: 70.0, RATIO: 37.06428571428572
RPM: 2705.75, SPEED: 73.0, RATIO: 37.06506849315068
RPM: 2815.0, SPEED: 76.0, RATIO: 37.03947368421053
RPM: 2923.5, SPEED: 79.0, RATIO: 37.00632911392405
RPM: 3029.0, SPEED: 81.0, RATIO: 37.39506172839506
RPM: 3108.75, SPEED: 84.0, RATIO: 37.00892857142857
RPM: 3189.0, SPEED: 86.0, RATIO: 37.08139534883721
RPM: 3254.5, SPEED: 88.0, RATIO: 36.98295454545455
RPM: 3170.25, SPEED: 89.0, RATIO: 35.62078651685393
RPM: 2507.5, SPEED: 87.0, RATIO: 28.82183908045977
RPM: 2533.0, SPEED: 88.0, RATIO: 28.78409090909091
RPM: 2563.25, SPEED: 89.0, RATIO: 28.80056179775281
RPM: 2592.25, SPEED: 90.0, RATIO: 28.802777777777777
RPM: 2612.5, SPEED: 91.0, RATIO: 28.708791208791208
RPM: 2633.25, SPEED: 91.0, RATIO: 28.936813186813186
RPM: 2660.5, SPEED: 92.0, RATIO: 28.918478260869566
RPM: 2700.25, SPEED: 94.0, RATIO: 28.726063829787233
RPM: 2723.75, SPEED: 95.0, RATIO: 28.67105263157895
RPM: 2753.0, SPEED: 95.0, RATIO: 28.978947368421053
RPM: 2770.25, SPEED: 96.0, RATIO: 28.856770833333332
RPM: 2788.25, SPEED: 97.0, RATIO: 28.74484536082474
RPM: 2793.5, SPEED: 97.0, RATIO: 28.798969072164947
RPM: 2805.0, SPEED: 97.0, RATIO: 28.917525773195877
RPM: 2795.0, SPEED: 97.0, RATIO: 28.814432989690722
RPM: 2792.75, SPEED: 97.0, RATIO: 28.79123711340206
RPM: 2781.25, SPEED: 97.0, RATIO: 28.672680412371133
RPM: 2775.75, SPEED: 97.0, RATIO: 28.6159793814433
RPM: 2769.75, SPEED: 96.0, RATIO: 28.8515625
RPM: 2774.0, SPEED: 97.0, RATIO: 28.5979381443299
RPM: 2786.25, SPEED: 97.0, RATIO: 28.72422680412371
RPM: 2790.25, SPEED: 97.0, RATIO: 28.765463917525775
RPM: 2803.0, SPEED: 97.0, RATIO: 28.896907216494846
RPM: 2815.25, SPEED: 98.0, RATIO: 28.727040816326532
RPM: 2829.25, SPEED: 98.0, RATIO: 28.869897959183675
RPM: 2832.75, SPEED: 98.0, RATIO: 28.90561224489796
RPM: 2846.5, SPEED: 99.0, RATIO: 28.752525252525253
